Ano	Taxa de inflação
1978	 20.9
1979	 21.7
1980	 16.1
1981	 19.2
1982	 21.5
1983	 24.0
1984	 28.5
1985	 19.5
1986	 12.6
1987	 9.7
1988	 9.9
1989	 12.5
1990	 13.6
1991	 11.8
1992	 9.6
1993	 6.8
1994	 5.4
1995	 4.2
1996	 3.1
1997	 2.3
1998	 2.6
1999	 2.3
2000	 2.9
2001	 4.4
2002	 3.6
2003	 3.2
2004	 2.4
2005	 2.3
2006	 3.1
2007	 2.5
2008	 2.6
2009	 -0.8
2010	 1.4
2011	 3.7
2012	 2.8
2013	 0.3
2014	 -0.3
2015	 0.5
2016	 0.6
2017	 1.4
2018	 1.0
2019	 0.3
2020	 0.0
2021	 1.3
